Anthony Harris,1.55,64,male
Donald Allen,1.56,76,male
Brian Green,1.65,66,male
Susan Mitchell,1.67,60,female
Ashley Jackson,1.61,104,female
Steven Carter,1.75,49,male
Sarah Garcia,1.89,86,female
Emily Rivera,1.58,66,female
Paul Hall,1.54,96,male
John Walker,1.59,63,male
Dorothy Gonzalez,1.58,99,female
Dorothy Flores,1.6,74,female
Matthew Perez,1.94,90,male
Michael Campbell,1.93,50,male
Charles Scott,1.72,55,male
John Johnson,1.72,79,male
Carol Rivera,1.66,107,female
Mary Wilson,1.53,75,female
Anthony Thomas,1.76,102,male
Dorothy Jackson,1.91,87,female
Amanda Hill,1.85,85,female
James Perez,1.93,77,male
Karen Rodriguez,1.61,94,female
Kevin Robinson,1.61,98,male
Kevin Miller,1.77,47,male
Mary Gonzalez,1.88,58,female
Paul Sanchez,1.65,107,male
Carol Allen,1.83,80,female
Robert Miller,1.78,61,male
Daniel Ramirez,1.74,90,male
Kimberly Jones,1.94,94,female
Christopher Sanchez,1.91,65,male
Emily Martinez,1.86,63,female
Andrew King,1.93,53,male
Jennifer White,1.83,59,female
Steven White,1.6,101,male
Edward Taylor,1.59,46,male
Linda Martinez,1.84,108,female
Sarah Roberts,1.68,91,female
Brian Nelson,1.91,65,male
Susan Baker,1.92,81,female
Thomas Wright,1.56,95,male
Michelle Torres,1.67,108,female
Lisa Torres,1.54,45,female
Melissa Martinez,1.65,56,female
Deborah Ramirez,1.9,63,female
Kenneth Torres,1.69,67,male
Joshua Taylor,1.84,81,male
Linda Harris,1.89,97,female
David Ramirez,1.83,93,male
Betty Young,1.77,63,female
Joseph Flores,1.76,67,male
Kenneth Hernandez,1.86,84,male
Kevin Moore,1.51,95,male
Jennifer Baker,1.85,60,female
Matthew Perez,1.9,102,male
Joshua Wilson,1.54,70,male
Steven Allen,1.62,72,male
Deborah Torres,1.8,72,female
Mark Torres,1.7,88,male
Amanda Walker,1.71,67,female
Christopher Walker,1.7,85,male
Michelle Ramirez,1.74,65,female
Nancy Flores,1.5,58,female
Daniel Rodriguez,1.67,66,male
Donna Young,1.77,63,female
Kimberly Rivera,1.58,101,female
Donna Thomas,1.77,94,female
Sarah Robinson,1.67,61,female
William Nguyen,1.56,61,male
John Thompson,1.54,89,male
James Flores,1.75,78,male
Christopher Perez,1.88,46,male
David Young,1.63,85,male
Barbara Martin,1.85,92,female
Charles Garcia,1.5,58,male
Sarah Jones,1.85,104,female
Susan Nguyen,1.86,55,female
Michelle Wilson,1.57,52,female
Donald Hall,1.59,76,male
William Taylor,1.86,57,male
John Rodriguez,1.71,77,male
Donald Carter,1.77,94,male
William Torres,1.74,87,male
Christopher Taylor,1.81,84,male
Kimberly Rivera,1.6,89,female
Joshua Lewis,1.6,63,male
Kevin Jackson,1.7,63,male
Jessica Walker,1.58,98,female
Jessica Hill,1.68,98,female
Donald Nguyen,1.91,94,male
Mark Taylor,1.67,49,male
Jennifer Johnson,1.92,98,female
Nancy Hall,1.91,54,female
Andrew Moore,1.8,78,male
Paul Robinson,1.6,95,male
William Young,1.57,54,male
Amanda Baker,1.84,60,female
Carol King,1.55,93,female
Karen Wilson,1.55,101,female
Nancy Flores,1.79,77,female
Dorothy Hill,1.66,89,female
Joshua Davis,1.61,68,male
Nancy Hernandez,1.85,84,female
Anthony Nelson,1.83,68,male
Edward Gonzalez,1.94,97,male
John Jones,1.83,53,male
Melissa Brown,1.6,97,female
Kenneth Nguyen,1.77,62,male
Kevin Williams,1.68,95,male
Andrew Robinson,1.57,86,male
Elizabeth Baker,1.53,104,female
Lisa Gonzalez,1.73,88,female
Jessica Martin,1.68,66,female
Andrew Jackson,1.57,63,male
Andrew Hernandez,1.71,50,male
Charles Roberts,1.66,48,male
George Brown,1.62,58,male
Kimberly Flores,1.65,75,female
Richard Carter,1.62,82,male
Andrew Scott,1.64,46,male
Elizabeth Martinez,1.54,52,female
Matthew Jones,1.92,51,male
Jennifer Robinson,1.55,49,female
James Torres,1.53,93,male
Daniel Moore,1.57,75,male
Jessica Rodriguez,1.51,102,female
Steven Allen,1.74,46,male
Ashley Lee,1.89,46,female
Mark Miller,1.85,107,male
Brian Young,1.57,53,male
Michelle Hall,1.74,62,female
Carol Sanchez,1.56,74,female
Kimberly Harris,1.94,48,female
Steven Ramirez,1.89,108,male
Melissa Torres,1.52,95,female
Patricia Adams,1.56,75,female
Daniel Lee,1.88,64,male
Susan Hernandez,1.74,98,female
Mark Lopez,1.71,49,male
Sandra Thompson,1.71,59,female
Sandra Campbell,1.86,89,female
David Green,1.63,103,male
Linda Taylor,1.56,104,female
Kenneth Clark,1.61,85,male
Joshua Smith,1.76,54,male
Donald Ramirez,1.85,60,male
Jennifer Miller,1.68,94,female
Jennifer Walker,1.56,104,female
William Miller,1.92,50,male
Mark Jones,1.52,104,male
Michael Perez,1.77,55,male
Kevin Green,1.78,45,male
Andrew Walker,1.74,66,male
Mark Harris,1.77,69,male
Kevin Perez,1.83,92,male
